,3-0,3-1/3-2,0-3
spirit,54.144999999999996,40.631,0.6779999999999999
legacy,16.219,64.255,2.429
gamerlegion,6.424,32.844,16.928
astralis,7.941,34.072,12.83
fut,7.61,33.729,15.407000000000002
g2,10.354,37.437,10.166
9z,20.015,42.937,3.8699999999999997
b8,15.149000000000001,38.75,8.733
betboom,5.25,41.439,15.479999999999999
mibr,8.647,49.919999999999995,9.631
pain,12.97,34.786,8.612
monte,8.748000000000001,29.115000000000002,12.255
m80,7.9670000000000005,28.125,15.149000000000001
tyloo,6.865,28.298000000000002,15.531
big,10.481,34.241,10.35
flyquest,1.2149999999999999,7.76,41.951
